index;stock;fator
2016-11-01;AGCX11;0,993383057804349
2016-10-03;AGCX11;0,9931729926470133
2016-09-01;AGCX11;0,9926109551546932
2016-08-01;AGCX11;0,9924105564809643
2016-07-01;AGCX11;0,9919076224846876
2016-06-01;AGCX11;0,9918289849490673
2016-05-02;AGCX11;0,9918444070954819
2016-04-01;AGCX11;0,9914446172804422
2016-03-01;AGCX11;0,9909920010665629
2016-02-01;AGCX11;0,9911493609837283
2016-01-04;AGCX11;0,9914284093596377
2015-12-01;AGCX11;0,992086630340116
2015-11-03;AGCX11;0,9918033822695896
2015-10-01;AGCX11;0,9916988085222738
2015-09-01;AGCX11;0,9917938500575559
2015-08-03;AGCX11;0,9917359321252569
2015-07-01;AGCX11;0,9918750363953158
2015-06-01;AGCX11;0,9919999308091924
2015-05-04;AGCX11;0,99223643584931
2015-04-01;AGCX11;0,9920425054725565
2015-03-02;AGCX11;0,992516415705136
2015-02-02;AGCX11;0,9923970176071749
2015-01-02;AGCX11;0,9923947351640877
2014-12-01;AGCX11;0,992604174056915
2016-11-08;AGRO3;0,9618095238095238
2016-10-24;AGRO3;0,9840018373080326
2015-10-29;AGRO3;0,8944481182030438
2017-06-12;AIGB34;0,9949753553141599
2017-03-20;AIGB34;0,9949793170353499
2016-12-06;AIGB34;0,9946376016084066
2017-03-01;ALMI11;0,9526956043956044
2017-02-01;ALMI11;0,9864675195504706
2017-01-02;ALMI11;0,9869235491558233
2016-12-02;ALMI11;0,9872616139485266
2016-11-01;ALMI11;0,9875226307214972
2016-10-03;ALMI11;0,9871953052729163
2016-09-01;ALMI11;0,986662526250924
2016-08-01;ALMI11;0,98709784286323
2016-07-01;ALMI11;0,9865389571118309
2016-06-02;ALMI11;0,9863323552985395
2016-05-02;ALMI11;0,9855705900903187
2016-04-01;ALMI11;0,9847195834021586
2016-03-01;ALMI11;0,983238085714673
2016-02-01;ALMI11;0,9843667144382036
2016-01-04;ALMI11;0,9847921806414647
2015-12-02;ALMI11;0,9907266434422098
2015-11-03;ALMI11;0,9922391960205681
2015-10-01;ALMI11;0,9911983982625148
2015-09-01;ALMI11;0,9918834230636666
2015-08-03;ALMI11;0,9919619423507959
2015-07-01;ALMI11;0,9902703738828723
2015-06-05;ALMI11;0,9915404370583085
2015-05-04;ALMI11;0,9916124354724697
2015-04-02;ALMI11;0,9918100558662963
2015-03-04;ALMI11;0,9906455119650847
2015-02-03;ALMI11;0,9909041612148519
2015-01-05;ALMI11;0,9902617726850615
2014-12-01;ALMI11;0,9910953702621034
2017-08-14;ALPA3;0,9946116165150455
2017-05-15;ALPA3;0,994106627735172
2017-03-20;ALPA3;0,9923402989514389
2016-11-14;ALPA3;0,9857780442312816
2016-08-15;ALPA3;0,9938010035438319
2016-05-16;ALPA3;0,9964531707657427
2016-03-14;ALPA3;0,9957601388148158
2015-12-08;ALPA3;0,9802963063570919
2015-11-23;ALPA3;0,9938929725329945
2015-10-01;ALPA3;0,976735093898294
2015-09-08;ALPA3;0,9906016675651922
2015-05-18;ALPA3;0,9941360275111217
2015-03-17;ALPA3;0,9601603821015586
2017-08-14;ALPA4;0,9940972222222222
2017-05-15;ALPA4;0,9935509851862506
2017-03-20;ALPA4;0,99292695569717
2016-11-14;ALPA4;0,9854783943551529
2016-08-15;ALPA4;0,9931608235853001
2016-05-16;ALPA4;0,9958035147057144
2016-03-14;ALPA4;0,9941037176247907
2015-12-08;ALPA4;0,9728054504204761
2015-11-23;ALPA4;0,9930002727917824
2015-10-01;ALPA4;0,974688801627929
2015-09-08;ALPA4;0,9909604606408183
2015-05-18;ALPA4;0,9940153812824956
2015-03-16;ALPA4;0,9592638180645919
2016-09-14;ALSC3;0,9823315118397086
2016-05-02;ALSC3;0,9929169607993032
2015-12-28;ALSC3;0,9913998196862412
2015-05-04;ALSC3;0,9663333555048074
2014-12-23;ALSC3;0,9922863570310754
2017-04-26;ALUP11;0,9736950904392765
2016-05-23;ALUP11;0,9926515327486393
2016-04-22;ALUP11;0,8874422288337388
2015-04-16;ALUP11;0,941432531372874
2017-04-26;ALUP3;0,9733959311424101
2017-05-02;ALUP4;0,9734375000000001
2015-08-26;AMAR3;0,9090909090909091
2015-04-30;AMAR3;0,9955189003436425
2017-08-25;AMGN34;0,9953322166387495
2017-05-18;AMGN34;0,9928658434127494
2017-02-14;AMGN34;0,9928652296002941
2016-11-14;AMGN34;0,9932914111404566
2016-05-13;AMGN34;0,9932691130374042
2016-02-16;AMGN34;0,993538601717486
2015-11-23;AMGN34;0,9949808623314238
2015-08-14;AMGN34;0,9949948399949409
2015-05-18;AMGN34;0,9951002381343125
2014-12-22;AMZO34;0,5
2017-08-22;ANCR11B;0,9601670588235295
2017-03-08;ANCR11B;0,9692722998367114
2017-09-05;ANDV34;0,9940367860600196
2016-11-28;ANDV34;0,9938104567557717
2017-04-27;ANIM3;0,99540059347181
2016-04-26;ANIM3;0,9820287109866702
2015-03-31;ANIM3;0,9696512127521942
2017-05-22;ARMT34;3,0
2017-08-15;ARNC34;0,9975448168355416
2017-09-05;ARZZ3;0,9787012987012986
2017-07-03;ARZZ3;0,9926493258325593
2017-05-02;ARZZ3;0,9823214481474128
2016-12-16;ARZZ3;0,9896389346655196
2016-09-30;ARZZ3;0,9952703149450115
2016-06-27;ARZZ3;0,9907574384894143
2016-05-02;ARZZ3;0,991331135080018
2015-12-16;ARZZ3;0,9912642595329748
2015-08-04;ARZZ3;0,9947439832014213
2015-06-18;ARZZ3;0,9927118835697502
2015-04-27;ARZZ3;0,9836031994756302
2014-12-17;ARZZ3;0,9943322981366459
2016-07-26;ATOM3;3,0000000000000004
2016-06-03;ATOM3;4,999999999999999
2017-09-05;ATSA11B;0,9987282746926663
2017-08-08;ATSA11B;0,9987285829904176
2017-07-07;ATSA11B;0,9930438461819489
2017-06-22;ATSA11B;0,9963637097869621
2017-05-10;ATSA11B;0,9980768522199148
2016-07-15;ATSA11B;0,9969578995849404
2015-05-05;ATSA11B;0,9981818359141529
2017-07-11;ATTB34;0,9884893228546479
2017-01-06;ATTB34;0,9888473991436014
2016-10-07;ATTB34;0,9880724701791234
2016-07-06;ATTB34;0,988910828614209
2016-04-06;ATTB34;0,9882349979605651
2016-01-08;ATTB34;0,9863119991561369
2015-10-07;ATTB34;0,9859236845921183
2015-07-10;ATTB34;0,9871512541286446
2015-04-10;ATTB34;0,9862026787046346
2015-01-07;ATTB34;0,9861828140496098
2015-11-13;AVON34;0,9795008912655971
2017-04-05;AXPB34;0,9958726125092222
2017-01-04;AXPB34;0,9959288030543747
2016-10-10;AXPB34;0,9946544585018204
2016-06-29;AXPB34;0,9952577874810102
2016-04-11;AXPB34;0,9954032055635311
2016-01-06;AXPB34;0,9957773402867257
2015-10-07;AXPB34;0,9963138971628446
2015-06-30;AXPB34;0,9959753569538817
2015-04-01;AXPB34;0,9969335870453863
2015-01-07;AXPB34;0,997012795333014
2015-05-04;AZEV4;0,9875816993464053
2014-12-08;AZEV4;0,9715089344804764
2017-05-15;BAHI3;0,9874117647058823
2016-11-01;BAHI3;10,000076868972991
2015-04-24;BAHI3;0,8981630139638619
2017-05-12;BALM4;0,9818955042527338
2017-04-24;BAUH4;0,9626395939086294
2016-04-26;BAUH4;0,947187302256908
2015-04-24;BAUH4;0,9481302033932058
2017-04-07;BAZA3;0,9792459016393443
2016-08-22;BAZA3;100,00114794637177
2016-08-16;BAZA3;0,9809873697587416
2016-04-11;BAZA3;0,9102352793761868
2015-11-05;BAZA3;0,965682578677623
2015-04-15;BAZA3;0,9231187606365246
2017-08-22;BBAS3;0,9933809214795587
2017-06-13;BBAS3;0,9971076601652832
2017-05-23;BBAS3;0,9931226441604248
2017-03-14;BBAS3;0,9978851380404183
2016-12-13;BBAS3;0,9962576742716122
2016-11-22;BBAS3;0,9961346557667313
2016-09-13;BBAS3;0,9944531833556188
2016-08-23;BBAS3;0,9937539997269859
2016-06-14;BBAS3;0,9917482969601007
2016-05-24;BBAS3;0,9921152845198327
2016-03-14;BBAS3;0,9957343800596568
2016-03-03;BBAS3;0,9938276852344714
2015-12-14;BBAS3;0,9844883611248372
2015-11-24;BBAS3;0,9907798229076408
2015-09-14;BBAS3;0,9838000744104269
2015-08-24;BBAS3;0,992336223259032
2015-06-12;BBAS3;0,9874853967427425
2015-05-22;BBAS3;0,9816647883637262
2015-03-24;BBAS3;0,9842632568921174
2015-02-20;BBAS3;0,9962315307270619
2014-12-12;BBAS3;0,9863916603778711
2017-07-03;BBDC3;0,9920289855072463
2017-05-02;BBDC3;0,9080057763579997
2016-12-22;BBDC3;0,9882924056389267
2016-10-03;BBDC3;0,9780963475421787
2016-06-23;BBDC3;0,9916502041577537
2016-04-18;BBDC3;0,9079082494780872
2015-12-17;BBDC3;0,9637484027080998
2015-06-23;BBDC3;0,9897102581046631
2015-03-27;BBDC3;0,8318456503592062
2015-02-10;BBDC3;0,9953930034687316
2014-12-23;BBDC3;0,9821504764233676
2017-07-03;BBDC4;0,9914387211367673
2017-05-02;BBDC4;0,9078924450330939
2016-12-22;BBDC4;0,9872228773704059
2016-10-03;BBDC4;0,9769652197550321
2016-06-23;BBDC4;0,9903345064563949
2016-04-18;BBDC4;0,9076590996114234
2015-12-17;BBDC4;0,9562838256001965
2015-06-23;BBDC4;0,9885176033341637
2015-03-27;BBDC4;0,8317507631909141
2015-02-10;BBDC4;0,9951067907399342
2014-12-23;BBDC4;0,980685646670658
2017-09-01;BBFI11B;0,9912430011198208
2017-08-01;BBFI11B;0,9903373892595033
2017-07-03;BBFI11B;0,9913796059412777
2017-06-01;BBFI11B;0,9920925382706889
2017-05-02;BBFI11B;0,9914868958251173
2017-04-03;BBFI11B;0,9908306156084606
2017-03-01;BBFI11B;0,9909238497335083
2017-02-01;BBFI11B;0,9908814912435655
2017-01-02;BBFI11B;0,9903629656633705
2016-12-01;BBFI11B;0,9903609372519513
2016-11-01;BBFI11B;0,9925855699718567
2016-10-03;BBFI11B;0,9919226062013341
2016-09-01;BBFI11B;0,9915655310651106
2016-08-01;BBFI11B;0,9913394844258128
2016-07-01;BBFI11B;0,9913071429042738
2016-06-01;BBFI11B;0,9912822624278634
2016-05-02;BBFI11B;0,9910445223901084
2016-04-01;BBFI11B;0,9914801631127427
2016-03-01;BBFI11B;0,9907489765617625
2016-02-01;BBFI11B;0,9900616834146042
2016-01-05;BBFI11B;0,99142965503251
2015-12-01;BBFI11B;0,9903301402776294
2015-11-04;BBFI11B;0,9900062109820353
2015-10-01;BBFI11B;0,9908695096988567
2015-09-02;BBFI11B;0,990990905380967
2015-08-04;BBFI11B;0,9912691402184147
2015-07-01;BBFI11B;0,9913372766250429
2015-06-01;BBFI11B;0,991319378723341
2015-05-04;BBFI11B;0,9915137433583959
2015-04-01;BBFI11B;0,990949200065974
2015-03-02;BBFI11B;0,9917628836252452
2015-02-02;BBFI11B;0,99108333802626
2015-01-02;BBFI11B;0,9869977859177145
2014-12-01;BBFI11B;0,9892823205933291
2017-09-01;BBPO11;0,9929928571428572
2017-08-01;BBPO11;0,9929514059566389
